,A,B,P,DA,MA,MC,PA,SC,SK,Age_range,Playable,Sexualization,Romantic_Interest,Is_Female
287,1,0,0,0,0,1,0,0,0,5,0,0,0.0,1
288,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
289,0,0,1,0,0,0,1,0,0,0,1,1,0.0,1
290,0,0,1,1,0,0,0,0,0,0,1,0,0.0,0
291,0,1,0,1,0,0,0,0,0,0,1,1,0.0,1
292,1,0,0,0,0,1,0,0,0,5,0,0,0.0,0
293,1,0,0,0,0,1,0,0,0,5,0,1,0.0,0
294,1,0,0,0,0,1,0,0,0,3,0,0,0.0,1
295,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
296,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
297,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
298,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
299,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
300,0,0,1,0,0,0,0,1,0,2,0,0,0.0,0
301,0,0,1,0,0,1,0,0,0,3,0,0,0.5,0
302,0,0,1,0,0,1,0,0,0,3,0,0,0.5,1
303,0,0,1,0,0,1,0,0,0,3,0,0,0.5,0
304,0,0,1,0,0,1,0,0,0,3,0,0,0.5,1
305,0,0,1,0,0,1,0,0,0,3,0,0,0.5,0
306,0,0,1,0,0,1,0,0,0,3,0,0,0.5,1
307,0,0,1,0,0,1,0,0,0,3,0,0,0.5,0
308,0,0,1,0,0,1,0,0,0,3,0,0,0.5,0
309,0,0,1,0,0,1,0,0,0,3,0,0,0.5,1
310,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
311,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
312,0,0,1,0,0,0,0,1,0,7,0,0,0.0,1
313,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
314,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
315,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
316,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
317,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
318,0,0,1,0,0,0,0,1,0,0,0,0,0.0,0
319,0,0,1,0,0,0,0,1,0,0,0,0,0.0,1
320,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
321,0,0,1,0,0,0,0,1,0,2,0,0,0.0,1
322,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
323,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
324,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
325,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
326,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
327,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
328,0,0,1,0,0,0,0,1,0,5,0,0,0.0,0
329,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
330,0,0,1,0,0,0,1,0,0,0,1,0,0.0,0
331,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0
332,0,0,1,0,0,0,0,1,0,5,0,0,0.0,1
333,0,0,1,0,0,0,1,0,0,5,1,0,0.0,0
334,1,0,0,0,1,0,0,0,0,5,0,0,0.0,0
335,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
336,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
337,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
338,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
339,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
340,0,0,1,0,0,1,0,0,0,5,0,0,0.0,0
341,0,0,1,0,0,1,0,0,0,5,0,0,0.0,1
